"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/EpicTemplates/VRTemplate/Materials/M_ArcEndpoint.M_ArcEndpoint","0","0","43","1","0.000000","0","0"
"/Game/EpicTemplates/VRTemplate/Materials/M_BaseMaterial.M_BaseMaterial","0","0","48","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","68","1","0.000000","0","0"
"/Game/Sample/Interactables/Longbow/M_Longbow.M_Longbow","0","39","39","1","43.457413","0","0"
"/Game/Sample/Art/M_Furniture.M_Furniture","0","24","24","1","32.729935","0","0"
"/Game/Sample/Art/M_FloorBG.M_FloorBG","0","24","24","1","35.434063","0","0"
"/Game/Sample/Interactables/Longbow/M_Arrow.M_Arrow","0","15","15","1","18.732773","0","0"
"/Game/Sample/Interactables/Squishy/M_Squishy.M_Squishy","0","242","242","1","229.871582","0","0"
"/Game/Sample/Interactables/Longbow/M_Longbow_String.M_Longbow_String","0","39","39","1","59.546593","0","0"
"/Game/Sample/Interactables/Longbow/M_Longbow_Notch.M_Longbow_Notch","0","39","39","1","60.359039","0","0"
"/Game/Sample/Characters/JoeJeff/M_JoeJeff_Controller.M_JoeJeff_Controller","0","15","15","1","26.006189","0","0"
"/Game/Sample/Art/M_Floor.M_Floor","0","24","24","1","44.055267","0","0"
"/Game/Sample/Characters/JoeJeff/M_JoeJeff.M_JoeJeff","0","63","63","1","102.274933","0","0"
"/Game/EpicTemplates/VRTemplate/Materials/GenericHMDMaterial.GenericHMDMaterial","0","15","15","1","22.088118","0","0"
"/Engine/EngineMaterials/AntiAliasedTextMaterialTranslucent.AntiAliasedTextMaterialTranslucent","0","0","33","1","0.000000","0","0"
"/Game/Sample/Characters/JoeJeff/M_JoeJeffHat.M_JoeJeffHat","0","15","15","1","23.730814","0","0"
"/Game/Sample/Art/M_Balloon.M_Balloon","0","15","15","1","19.712084","0","0"
"/Game/Mannequin/Character/Materials/M_UE4Man_Body.M_UE4Man_Body","0","0","208","2","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","10","1","0.000000","0","0"
